Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MYC	9/957	0.000540362592406751543992748931799496858729980885982513427734375	0.0289084935067188651680591959802768542431294918060302734375	0.0089986334613267222881649587407082435674965381622314453125	0.1298869497948753337634997251370805315673351287841796875	-1.8490876046162132	13.911185629211086	PPP2CA;PSMC1;RARS;DNAJA2;MYCBP2;KPNA4;MATR3;SMARCA2;RAB11FIP5
POU5F1	5/338	0.0015204720928344429668743753580884003895334899425506591796875	0.0289084935067188651680591959802768542431294918060302734375	0.0100537558213201587420382310256172786466777324676513671875	0.1298869497948753337634997251370805315673351287841796875	-1.8312093187619178	11.882230909324939	DNAJA2;UBP1;MATR3;SAE1;SMARCA2
FOS	4/199	0.001531513898087990231677846253433017409406602382659912109375	0.0289084935067188651680591959802768542431294918060302734375	0.00782298053028603231073834223252561059780418872833251953125	0.1298869497948753337634997251370805315673351287841796875	-1.769331074615478	11.467916806819536	MATR3;NEFM;SMARCA2;OPTN
NR3C1	4/239	0.0029770778218894907753144796203059740946628153324127197265625	0.0312186875778102702894134523603497655130922794342041015625	0.01450710683818177797188564426278389873914420604705810546875	0.14714351221584376361306567559950053691864013671875	-1.7481492700431658	10.168657498253413	PPP2CA;DNAJA2;UBE3A;SMARCA2
CDKN1B	3/93	0.001628647521505288166265845717362026334740221500396728515625	0.0289084935067188651680591959802768542431294918060302734375	0.006222124395685905799691095552361730369739234447479248046875	0.1298869497948753337634997251370805315673351287841796875	-1.5009708412089293	9.636240830751127	CCNB1;KPNA4;UBE3A
NFKB1	4/254	0.003700849923013861501874810500112289446406066417694091796875	0.032845043066748021154399594934147899039089679718017578125	0.0177368296574751081740028979538692510686814785003662109375	0.1574143632100915846105948503463878296315670013427734375	-1.6568084397951695	9.276789848623086	PPP2CA;NKRF;MATR3;KPNA4
NR4A1	3/115	0.0029817855930709996799266026101804527570493519306182861328125	0.0312186875778102702894134523603497655130922794342041015625	0.01097636195449650832467458627661471837200224399566650390625	0.1298869497948753337634997251370805315673351287841796875	-1.525875304264793	8.873320370760363	PREPL;ABCA5;MATR3
RNF2	3/175	0.00954975107624570808406705424431493156589567661285400390625	0.07533692515704946968124744444139651022851467132568359375	0.032520758166115139309315651416909531690180301666259765625	0.2328869945344430314460026920642121694982051849365234375	-1.51528617705877	7.04795996630509	PPP2CA;MATR3;UBE3A
NR4A2	2/33	0.00307789877527706902393678234375329338945448398590087890625	0.0312186875778102702894134523603497655130922794342041015625	0.00834904239112011815893144017763916053809225559234619140625	0.1298869497948753337634997251370805315673351287841796875	-1.163295571938586	6.7279293986337265	NEFM;SMARCA2
BRCA1	4/418	0.020341977981448301771028042139732860960066318511962890625	0.12035670305690245041052577334994566626846790313720703125	0.08273255002931657886566796378247090615332126617431640625	0.345530061887145745203042679349891841411590576171875	-1.5972189106301753	6.221277301506624	PPP2CA;CCNB1;UBE3A;SMARCA2
SOX2	2/70	0.0132743342027209602906889784890154260210692882537841796875	0.0942477728393188163291682712952024303376674652099609375	0.032800985145696202882614755935719585977494716644287109375	0.2328869945344430314460026920642121694982051849365234375	-1.2735805638319844	5.504316962215726	DNAJA2;SAE1
CCNE1	2/82	0.0179110341898982873554135863969349884428083896636962890625	0.11560758431661621870034650783054530620574951171875	0.043464398653371698333369721467533963732421398162841796875	0.280542936762671890615905567756271921098232269287109375	-1.2341434199063939	4.964142371331277	MCF2;SMARCA2
ETS1	2/102	0.0269179298026270726051922821397965890355408191680908203125	0.1349971043821018568120706504487316124141216278076171875	0.0636576254790584272758025008442928083240985870361328125	0.316647571943949268646889549927436746656894683837890625	-1.3369355066610102	4.832971960805188	NEFM;SMARCA2
VDR	2/109	0.030421882677656754412343076410252251662313938140869140625	0.1349971043821018568120706504487316124141216278076171875	0.071357199311312513589911077360739000141620635986328125	0.316647571943949268646889549927436746656894683837890625	-1.2798754336452431	4.470084114292143	PPP2CA;GABARAPL1
EPAS1	2/106	0.028898858006382900642794453460737713612616062164306640625	0.1349971043821018568120706504487316124141216278076171875	0.06802033639272046794399528835128876380622386932373046875	0.316647571943949268646889549927436746656894683837890625	-1.2451707324303545	4.412826801736144	DNAJA2;SMARCA2
HSF1	2/109	0.030421882677656754412343076410252251662313938140869140625	0.1349971043821018568120706504487316124141216278076171875	0.071357199311312513589911077360739000141620635986328125	0.316647571943949268646889549927436746656894683837890625	-1.200604745845067	4.1932238566846065	HSF2;UBE3A
ESR2	3/365	0.06301735510634320913680994635797105729579925537109375	0.203469830664669781850051322180661372840404510498046875	0.177931880709619349989480951990117318928241729736328125	0.439284703302555479265123494769795797765254974365234375	-1.223302508699861	3.3816303112159716	PREPL;NKRF;UBE3A
NANOG	2/160	0.06069817396662481601143923626295872963964939117431640625	0.203469830664669781850051322180661372840404510498046875	0.135059873945788277982416047962033189833164215087890625	0.383570042006038669502032689706538803875446319580078125	-1.1770777426205146	3.297985461384163	PSMC1;SMARCA2
TBP	2/160	0.06069817396662481601143923626295872963964939117431640625	0.203469830664669781850051322180661372840404510498046875	0.135059873945788277982416047962033189833164215087890625	0.383570042006038669502032689706538803875446319580078125	-1.1640546124982738	3.261496712808181	PSMC1;SMARCA2
TP53	4/628	0.071410351387301174153066085636964999139308929443359375	0.21219555605119655439239068073220551013946533203125	0.2396637037846928441897631500978604890406131744384765625	0.50110039698493213933261358761228621006011962890625	-1.2164399637232108	3.2105651320906787	PPP2CA;UBE3A;SAE1;SCAMP1
STAT1	2/196	0.08623119677543567007660385570488870143890380859375	0.218657677537711869764081029643421061336994171142578125	0.1856132549165727396722758157920907251536846160888671875	0.439284703302555479265123494769795797765254974365234375	-0.9328821813508927	2.2862360562344386	PPP2CA;SMARCA2
POLR2A	2/239	0.12010363632255045829300144077933509834110736846923828125	0.266479943090658810689319579978473484516143798828125	0.2490533345270108667168784677414805628359317779541015625	0.50110039698493213933261358761228621006011962890625	-0.9299642326602588	1.970966448485388	GABARAPL1;SMARCA2
JUN	2/248	0.1275656013841958424936962046558619476854801177978515625	0.2689190125987674928609294511261396110057830810546875	0.262529769950555935675851060295826755464076995849609375	0.50110039698493213933261358761228621006011962890625	-0.9209383364724718	1.8963267156043204	NEFM;SMARCA2
AR	2/271	0.1471098318696175411002258215376059524714946746826171875	0.290133279520634612680396458017639815807342529296875	0.2970345870331858595392304778215475380420684814453125	0.50212989712752842397236463511944748461246490478515625	-0.8571139746450361	1.6427239150256492	UBE3A;SMARCA2
HTT	2/293	0.166345754197664896789632393847568891942501068115234375	0.312550719148249722678656326024793088436126708984375	0.3299259870666613192469185378286056220531463623046875	0.52054989070517676541527407607645727694034576416015625	-0.7300804981730322	1.3095357526211253	PPP2CA;OPTN
IKZF1	1/42	0.09989109153265218754569332304527051746845245361328125	0.24456094823511398406168382280156947672367095947265625	0.15819077963868422020965454066754318773746490478515625	0.431982513628714592801571825475548394024372100830078125	-0.4894376840844304	1.127505244875963	SMARCA2
MEF2C	1/50	0.11777687057629072919784363193684839643537998199462890625	0.266479943090658810689319579978473484516143798828125	0.184844343988355586105853944900445640087127685546875	0.439284703302555479265123494769795797765254974365234375	-0.4295480870593633	0.9187876246879915	CCNB1
CEBPZ	1/22	0.053607444957533466334265170871731243096292018890380859375	0.203469830664669781850051322180661372840404510498046875	0.0878531277585417047504279253189451992511749267578125	0.346531781714247866243994167234632186591625213623046875	-0.29732665035237466	0.8699977955823942	UBE3A
CDX2	1/17	0.0416768740944068183384985104567022062838077545166015625	0.174062238864875540311771828783093951642513275146484375	0.0694078824232347846301394156398600898683071136474609375	0.316647571943949268646889549927436746656894683837890625	-0.2724376082284031	0.8657546512420652	SMARCA2
FOXM1	1/31	0.07471674508844948492392035177545039914548397064208984375	0.21219555605119655439239068073220551013946533203125	0.1201751999095629075409163988297223113477230072021484375	0.383570042006038669502032689706538803875446319580078125	-0.3099348773516123	0.8039868932384805	CCNB1
FOXP3	2/350	0.217902769334793522393312059648451395332813262939453125	0.336328187451529092566460121815907768905162811279296875	0.413226384340064145650472937632002867758274078369140625	0.55356742053102936385045040879049338400363922119140625	-0.4764476178144513	0.7259662501823837	CCNB1;NKRF
SIN3B	1/55	0.1287781187092689461071159939820063300430774688720703125	0.2689190125987674928609294511261396110057830810546875	0.2010900746967987651192544262812589295208454132080078125	0.460561138821700410961312854851712472736835479736328125	-0.334765739866275	0.6861574078081103	SMARCA2
NACC1	1/31	0.07471674508844948492392035177545039914548397064208984375	0.21219555605119655439239068073220551013946533203125	0.1201751999095629075409163988297223113477230072021484375	0.383570042006038669502032689706538803875446319580078125	-0.26270651896773034	0.6814741207029333	KPNA4
PCGF2	1/45	0.10663951820020549365874984459878760389983654022216796875	0.252380193073819703020177485086605884134769439697265625	0.1682822907752080932031191196074360050261020660400390625	0.439284703302555479265123494769795797765254974365234375	-0.27516840058399794	0.6159097395251882	HSF2
CTCF	1/60	0.13964489232092691661790695434319786727428436279296875	0.283279638708166026095369716131244786083698272705078125	0.2170252665594691043882136227693990804255008697509765625	0.481524810178822093575945473276078701019287109375	-0.31060283546566897	0.6114690678408925	KPNA4
E2F4	1/73	0.1672806665863871555810504787586978636682033538818359375	0.312550719148249722678656326024793088436126708984375	0.25704393754453913611968118857475928962230682373046875	0.50110039698493213933261358761228621006011962890625	-0.3200434338949645	0.5722639798611615	RAB3GAP1
KDM6A	1/26	0.0630469897834187997798238711766316555440425872802734375	0.203469830664669781850051322180661372840404510498046875	0.1023565413062367535079744129689061082899570465087890625	0.382490233302253124225700275928829796612262725830078125	-0.2050365807096557	0.5666954715196503	MATR3
XRCC4	1/33	0.07934465818982051887875428519691922701895236968994140625	0.2147095235849964256491517744507291354238986968994140625	0.127207324029247226260253000873490236699581146240234375	0.383570042006038669502032689706538803875446319580078125	-0.21057859876156698	0.5335965150490012	DENR
CBFB	1/34	0.08165010051823808068238719215514720417559146881103515625	0.2147095235849964256491517744507291354238986968994140625	0.1307031558429140039034876963341957889497280120849609375	0.383570042006038669502032689706538803875446319580078125	-0.2129211866266884	0.5334340525582317	RARS
MYB	1/84	0.1899837758018634026324633623517001979053020477294921875	0.31369414144028606727943042642436921596527099609375	0.289367834878622776084711176736163906753063201904296875	0.50110039698493213933261358761228621006011962890625	-0.2733673699403137	0.4540130661642449	SMARCA2
ESRRB	1/84	0.1899837758018634026324633623517001979053020477294921875	0.31369414144028606727943042642436921596527099609375	0.289367834878622776084711176736163906753063201904296875	0.50110039698493213933261358761228621006011962890625	-0.2723226801522537	0.4522780280213563	UBP1
STAT5B	1/81	0.1838528887336318418110892025651992298662662506103515625	0.31369414144028606727943042642436921596527099609375	0.280688453212839750250395809416659176349639892578125	0.50110039698493213933261358761228621006011962890625	-0.24335109964322688	0.41214413336778855	PPP2CA
SMARCC2	1/114	0.2488628782314115384100006167500396259129047393798828125	0.344944543252936497435001683697919361293315887451171875	0.370818480209872125552550414795405231416225433349609375	0.52333651389387692010046748691820539534091949462890625	-0.2823925671178495	0.39276661241979194	SMARCA2
CEBPA	1/113	0.246969605265022151829867880223901011049747467041015625	0.344944543252936497435001683697919361293315887451171875	0.3682538816301386130902528748265467584133148193359375	0.52333651389387692010046748691820539534091949462890625	-0.2666919155450621	0.37296597844630563	SMARCA2
NFE2	1/77	0.1756075863784313517701463069897727109491825103759765625	0.31369414144028606727943042642436921596527099609375	0.268957800407986169499707784780184738337993621826171875	0.50110039698493213933261358761228621006011962890625	-0.21015337567251632	0.36556251068499246	UBP1
SMARCC1	1/114	0.2488628782314115384100006167500396259129047393798828125	0.344944543252936497435001683697919361293315887451171875	0.370818480209872125552550414795405231416225433349609375	0.52333651389387692010046748691820539534091949462890625	-0.2415548937762674	0.3359674027905049	SMARCA2
STAT5A	1/96	0.214059160628975064799561778272618539631366729736328125	0.336328187451529092566460121815907768905162811279296875	0.323092277209608036425692034754320047795772552490234375	0.52054989070517676541527407607645727694034576416015625	-0.21509440669135757	0.33156864106901746	PPP2CA
GFI1B	1/80	0.1817991717930188821927828257685177959501743316650390625	0.31369414144028606727943042642436921596527099609375	0.277772817829999407734931082814000546932220458984375	0.50110039698493213933261358761228621006011962890625	-0.1863982600236871	0.3177815680867192	MATR3
SMARCB1	1/116	0.252635440128911259449751014471985399723052978515625	0.344944543252936497435001683697919361293315887451171875	0.37591777758574262957580458532902412116527557373046875	0.52333651389387692010046748691820539534091949462890625	-0.22101521847240546	0.30407445652589593	SMARCA2
EED	1/91	0.2041141937898530989148326852955506183207035064697265625	0.329366085433626609724200307027786038815975189208984375	0.30923114510706450897004060607287101447582244873046875	0.51059096052561814271797402398078702390193939208984375	-0.17475546155326316	0.2776996518521047	PSMC1
CEBPB	1/142	0.300021009830177820543184452617424540221691131591796875	0.394472068480418991409663931335671804845333099365234375	0.438708424905294436246805389600922353565692901611328125	0.57682033644955377216234637671732343733310699462890625	-0.20917833429492538	0.2518303769206309	SMARCA2
